text,Emotion,label
ad cho hỏi nghệ_an lúc_nào mưa vậy ah .._ốm cũng cam_lòng chứ_vã lắm rồi,Sadness,2
giận ngược_lại rồi giận luôn chứ có huề đéo đâu emoji_buon,Sadness,2
per tao được làm fan cứng giống mày rồi,Enjoyment,0
xem cái này mới biết vốn tiếng anh của mình cũng khá !,Surprise,0
thằng lol này tao đéo biết nó sống tốt với mọi người xung_quanh như_thế_nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa,Disgust,3
ôi bé xinh_gái vãi emoji_vui,Enjoyment,0
cười sái mẹ quai_hàm,Enjoyment,0
rồi khi mày có 1 ít tiền emoji_vui mày mới phát_hiện ra còn đéo cả có người đi cùng cơ,Sadness,2
tự_dưng cay mẹ mắt,Sadness,2
tao sợ thật_sự emoji_buon,Fear,1
per thịt nướng lò xô_ne ăn_z mà không_chết,Enjoyment,0
tốt quá,Enjoyment,0
ông nào viết vui_tính thế emoji_cuoi cưng thật,Enjoyment,0
không_hiểu sao nhìu người lại thả haha nhỉ ? ?,Surprise,0
diễn_viên già vãi .,Disgust,3
ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ emoji_cuoi emoji_cuoi emoji_cuoi,Enjoyment,0
cưng quá đi,Enjoyment,0
nhìn mẫu này lạ_mắt mà đẹp quá,Surprise,0
tao cay mẹ khóe mắt,Sadness,2
thấy mệt thêm chứ chẳng_khỏe gì cả .,Disgust,3
"emoji_vui đang ăn_mỳ , không_có trứng nhạt lắm , có rụnng thì xin vài quả !",Enjoyment,0
"cảm_ơn nói_chuyện nhật ! 1 nền khoa_học , giáo_dục , trí_tuệ văn_minh ! !",Enjoyment,0
tao mệt chúng_mày quá,Disgust,3
hahaha lúc trước ca làm có 4 chị_em vui biết_bao emoji_vui,Enjoyment,0
đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước_lạnh đâu,Disgust,3
các bạn đang bảo con này ah emoji_cuoi emoji_cuoi emoji_cuoi,Other,0
má chủ dễ_thương vậy tao cũng muốn xin,Enjoyment,0
kinh_nghiệm được truyền lại là khi nào nấu xong bỏ tí tro vào lần sau không_phải nấu emoji_vui,Enjoyment,0
"có những con_người luôn phải chịu đắng_cay , cta không_được chọn gia_đình , bạn_bè và càng không_có quyền lựa_chọn cuộc_sống này . hãy vui lên với tất_cả những gì ta đang có dù là hai_bàn_tay_trắng",Sadness,2
địt mẹ không_có cái loại nào nó ác_man và tàn_độc hơn là cái loại người . xem mà điên_đéo chịu được,Anger,4
nhìn thương quá ... lao_động nghiêm_túc,Enjoyment,0
đm thực_tế như này còn hay . tiếc là đéo ở gần mình emoji_cuoi,Sadness,2
per mấy trụ kia em không_tag được,Other,0
nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác,Anger,4
per ơ_ơ ơ đây là đâu vậy,Surprise,0
gặm gặm cái đéo_ý à ... bố gặm luôn mày giờ ... ! ! !,Anger,4
"thằng nào nói câu thế thì đừng làm nghề này . v nếu không_có người làm nghề này thì ks sẽ mở_cửa cho chúng_mày vô_àk , người có ăn_học có ý_thức sẽ không_nói ra câu đó .",Disgust,3
không_phải là trời không_cho mày yêu . vì m quá ngulon,Disgust,3
"per tặng quà_cáp gì tặng hộp nhỏ thôi_nha . đi hát_hò gì đừng đem thùng quà to như_vậy nha , nó biết nó nhổ trụi lông nó ngắt_mép chết đó emoji_buon",Fear,1
hết tiền rồi này,Sadness,2
"đẹp , dẽ_thương mà",Enjoyment,0
tử_hình con mẹ nó lũ chó má không_có tính người đi . khổ_thân lũ trẻ,Anger,4
phim xem hay ... nhẹ_nhàng tình_cảm ... và cười vkl,Enjoyment,0
thế làm_sao dỗ bạn gái đang giận_emoji_buon,Sadness,2
t nói thật tao hiền lắm . chứ bà lồn to kia_mà gặp tao là ăn mấy cái mũ_bảo_hiểm vào mặt rồi emoji_vui,Anger,4
loài này bé như ngón tay phàm ăn lắm sợ luôn,Fear,1
"phí dịch_vụ cao nhất , chuyển tiền nội_mạng trừ_phí tởm nhất , thái_độ làm_việc bố_láo nhất , ít ưu_đãi nhất ....",Disgust,3
dume trailer kinh_dị cho lắm vô_rạp gặp toàn bọn xàm ngồi cười,Disgust,3
chẳng_đủ dịu_dàng để níu bước chân anh,Sadness,2
1 cái xe cup này ngày_xưa bằng mấy cái nhà liền,Other,0
mỗi phút bên em thật tuyệt_vời . chỉ em mới cho anh cái cảm_giác đó,Enjoyment,0
em chưa_có người_yêu . có ai yêu em không . em cô_đơn quá,Sadness,2
nhỏ nhặt nhưng ý_nghĩa và hạnh_phúc emoji_vui,Enjoyment,0
per emoji_cuoi hít đi cho no chứ mắc_công lại chửi tao không_biết_điều giở_trò trước mặt cẩu_fa như mày emoji_vui,Enjoyment,0
bả đòi cái gì vậy ?,Other,0
"cái thứ ba , trời nhìn mà rơi nước_mắt thay cho luôn công_cả một mùa mà đi_tong chỉ vì một trận mưa",Sadness,2
per biết không_emoji_vui,Surprise,0
dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .,Sadness,2
mấy cái tin này thường làm tan_nát tình_cảm gia_đình trong lúc ăn cơm xem thời_sự .._bố tổ_sư,Disgust,3
cô tiên_béo quá .. giọng còn the thé nữa ..,Disgust,3
lên_án nhiều rồi mà vẫn thế .,Disgust,3
thằng này ngu vãi,Disgust,3
cây tre có tận trăm đốt luôn hả ? ? ?,Surprise,0
nói tiếng tuy hòa_phú_yên làm tao nhớ đến nyc . giọng nó sao ngọt không_thể tả . buồn,Sadness,2
"per mợ mệt , trưa nào cũng nhìn mày nhai chóp_chép ..",Disgust,3
"đừng nên thích mấy ông anh cơ_bắp , sợ lắm",Fear,1
có ai vừa coi mà thấy phê_phê cái lỗ tai giống tôi không ? ?,Enjoyment,0
tao đéo hiểu sao người_yêu tao đi cắt tóc về trông mặt_ngáo đến kì lạ,Disgust,3
và khi quay lại nói_chuyện với nhau .... biết nói gì giờ huhu,Sadness,2
thằng cha bảo_vệ có tâm quá . nge con_nhỏ kêu nguyên đêm zi mà đéo cứu,Disgust,3
cũng mất_công_đẻ mà sao mẹ chúng_nó đẻ ra lũ ngu thế haiz,Disgust,3
tao thấy giống_khùng với_lại vô_duyên chứ hay gì,Disgust,3
cần gì những thứ xa hoa lộng_lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu_thương nhắn_tin đã cảm_thấy đủ hạnh_phúc rồi emoji_vui emoji_vui emoji_vui,Enjoyment,0
t gặp ngỗng chạy bỏ dép,Fear,1
"vừa ngu vừa ngông thì thế , làm trễ tàu của người ta",Disgust,3
sao nó trèo lên được hay vậy,Surprise,0
"khuôn_mặt ngây_thơ vô_số tội , trái_tim nhỏ_bé của tao sao chịu được",Enjoyment,0
cuộc_sống mà đành chịu thôi,Sadness,2
"cấp 3 , đáng tiếc nhất trong thời học_sinh emoji_vui",Sadness,2
"per mình đang nói phần_lớn thôi , chứ tất_nhiên cũng có ngoại_lệ mà",Other,0
"thích chị này nhất phim_í , bé bé xinh_xinh lại diễn rất đạt 3 . hy_vọng mai_sau sẽ có bước_tiến lớn và thành_công hơn_nữa 3",Enjoyment,0
dạo này xem video của per chán ấy không_như xưa tại giờ toàn quảng_cáo ấy ý_kiến cá_nhân,Disgust,3
t thấy chả_có gì thú_vị .,Other,0
vậy mà củng_chẳng hút được khách !,Surprise,0
khi nào lên chùa ba vàng giải được vong thì kết_hôn emoji_vui,Enjoyment,0
thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe ..,Disgust,3
chắc phải 6 năm chưa_nấu kiểu này rồi trước nấu hôm đầu cơm_dẻo ai cũng khen ngon,Enjoyment,0
cận cảnh cái bụng nước lèo của boss emoji_cuoi xài_hao vãi,Disgust,3
bản_chất tham_lam của con_người thể_hiện ngay từ những việc nhỏ ..,Other,0
em đi bộ chết mẹ đây này,Sadness,2
"thật tốt vì chú chó ấy đã tìm được người yêu_thương nó , kiên_trì để nó tin_tưởng thật_sự",Enjoyment,0
"phim này xem nam chính thôi . nữ chính diễn_chán vãi lúa lắm lúc tụt_hứng lắm . giận không_ra giận , vui không_ra vui .",Disgust,3
nhìn mặt nó khó ưa thật chứ,Disgust,3
lần sau thì mình sẽ như_thế để đỡ phải cãi nhau nhiều ah,Other,0
giờ lên phường người_ta có phát chú_rể không_nhỉ các bạn ?,Other,0
một cái ngu thật sứng đáng,Disgust,3
năm nay tao không_còn cảm_thấy cô_đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn_ké socola of_bọn có người_yêu emoji_cuoi ... mun,Enjoyment,0
hãy dùng một đời để minh_chứng nhé !,Other,0
con mụ đen sai còn già mồm ...,Disgust,3
chỉ cần yên_bình như thế_này thôi .,Enjoyment,0
năm nay được nhận hoa và được ngồi nhìn người ta hạnh_phúc,Sadness,2
chỉ sợ lúc nó dí,Fear,1
hên là chay ra kip,Enjoyment,0
imm,Anger,4
tao cũng có 1 người bà như trong video nhưng bà ấy qua_đời rồi,Sadness,2
đa người yêuc quá,Enjoyment,0
"5 tr là tiền bà yến cúng_vong cho công_an phường quang_trung để giải oan_gia trái_chủ của bà tiền kiếp thôi , chứ phạt g đâu , xếp lớn của bà và xếp lớn của công_an phường là 1 , ai_lại đi đá gà nhà ...",Disgust,3
kinh_dị v,Fear,1
thật may em đã gặp được người tài_xế tốt,Enjoyment,0
bắn không_trượt phát nào luôn à,Surprise,0
tại_sao mày nằm viện mà vẫn xinh_thế ? ?,Surprise,0
đẹp_trai mà bị đá à,Surprise,0
cho con được thay ông bán vé đi,Sadness,2
lớp xuất_hiện thứ âm_binh,Disgust,3
đọc bình_luận cười ẻ,Enjoyment,0
per cách này coi_bộ hay nha emoji_cuoi,Enjoyment,0
"mặt đúng kiểu , em hiểu cảm_giác phê của anh không_kk",Enjoyment,0
per thanh_niên suốt ngày hát karaoke max volum,Disgust,3
lỡ câu_chuyện là thật thì sao . chưa_gì lên chửi người ta là rẻ rách,Disgust,3
bố mày ngứa_mắt lắm rồi đấy,Anger,4
thề địt mẹ ngay đoạn hay cái lên nhạc cast muốn đập điện_thoại vãi emoji_vui,Anger,4
cả đám súc_vật này,Anger,4
bố mấy thằng bệnh,Disgust,3
thật khó để có cả 2 khi chúng_ta còn trẻ emoji_vui,Sadness,2
nếu cảm_thấy không_làm được thì nghỉ làm đi . đã xin đi làm_thuê thì phải chấp_nhận thôi . kêu than cái gì,Disgust,3
may mình đi làm rồi chứ 10 năm trước chắc sẽ phát_khổ với bố_mẹ vì mấy tin con nhà người ta như_thế_nào,Enjoyment,0
còn em_trai cưng của tao sang nhà người_thân_quen của gia_đình chowi thế_là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em_trai tao bắt chuột cho nhà họ mới hãm lồn,Disgust,3
mấy thằng này người ta gọi_là mấy thằng nhà_quê . năm nào rồi còn túm 5 tụm 3 trêu gái,Disgust,3
cô_giáo có tâm_vời nghề ghêee,Enjoyment,0
tiếc quá đẹp_trai mờ không_có chim,Sadness,2
crush ở nhà chơi gane rồi haha,Enjoyment,0
nhìn stt đồng_cảm khủng_khiếp .,Sadness,2
cài lò_xô huyền_thoại,Enjoyment,0
quên đào_tạo đạo_đức thôi mà báo làm căng vãi emoji_cuoi,Disgust,3
đi bơi nên não bị úng nước à mấy thằng mặt lồn suy_đồi đạo_đức,Disgust,3
"cố_gắng lên mọi lỗ_lực và công_lao của em sẽ được đền_đáp một_cách thật là sứng_đáng , cố_gắng lên em nhé",Enjoyment,0
hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng_dáng mấy con đuỹ này là chuẩn_bị tinh_thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết emoji_cuoi vừa dí vừa ngoác mỏ hét sợ vãi ra,Fear,1
trốn cũng đéo tha,Anger,4
"con gấu_trúc , cho nó ăn_trúc đi emoji_cuoi_tướng ngồi nhìn cưng vãi",Enjoyment,0
rồi lại im thôi . 200 k hay 5 tr thì cũng vậy,Sadness,2
"cái lò huyền_thoại nè per , lúc mình ở chung đó",Enjoyment,0
hi_vọng trưa nay lúc ăn cơm vtv24 sẽ không_đưa tin về bạn này ạ,Fear,1
tí nữa vợ nó vắt chân lên cổ_bò thì hú_hồn,Fear,1
tuyệt_vời,Enjoyment,0
trẻ_con bao_giờ ga lăng_sớm thế nhỉ ? ! hồi mình bằng bọn này đuổi đánh nhau hỡi chết emoji_vui,Surprise,0
tính đi chạy_xe mà mưa cho_nên ta ở nhà emoji_vui,Other,0
nhìn nó cưng quá,Enjoyment,0
chủ_tịch giả làm nhện và cái kết . đừng bao_giờ xem_thường người khác .,Disgust,3
"này thì cắt_đức quan_hệ , toàn thể_hiện , dume nó",Disgust,3
con gái bây_giờ chẳng_nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình,Disgust,3
hạnh_phúc to nè,Enjoyment,0
độ thâm của bác phải gọi là bố của tàu,Disgust,3
ông thần_nhây vãi đái_emoji_cuoi emoji_cuoi,Enjoyment,0
tóm_lại vẩn ế à,Surprise,0
chả_vị nước_mắt à,Sadness,2
con lợn kia sao đập vào đầu vợ bé của tao emoji_cuoi,Anger,4
tôi rất mong sử_phạt giao_thông cũng mạnh_tay như_thế_nào thì tốt,Other,0
cứ sợ rớt điện_thoại emoji_vui_sợ nhất là lỡ_khúc nào khó là té không_thể tả nổi,Fear,1
hình_như anh nay đóng phim ngây_ngô thì fải ... phim đó hay lắm các bạn nên xem,Enjoyment,0
hahaa coi cái mặt con_nhỏ thấy thương,Enjoyment,0
"per khiếp nhớ ngày_xưa quá anh_em ơi , đi làm cười từ sáng tới tối luôn",Enjoyment,0
per tự_nhiên tao cảm_thấy bị nhột_nhột trong người mày ạ,Other,0
"tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế chả_bù cho mình , lúc đéo nào cũng cười , cuộc_sống tràn_ngập niềm vui 3",Enjoyment,0
không_phải crush v nhưng_mà nhìn ổng cười mỉm nhìn cute_vãi .,Enjoyment,0
per anh tặng vợ cái bát_nha kaka,Enjoyment,0
"tiêu_đề bộ phim cứ ngỡ là thể_loại hài , nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này",Enjoyment,0
như lol,Anger,4
bất_ngờ chưa_emoji_cuoi,Surprise,0
"trời mới bắt_đầu mưa , đéo lo thu thóc đi_đứng đó quay ngang quay dọc",Anger,4
"ay , đau_thế , thằng chó !",Anger,4
"có ai nhìn thấy hình_như người đàn_ông này đang rất đau_khổ không_nhỉ ? mình nhận thấy hình_như ông ấy đang rất đau_khổ , mà không_thể or không_muốn nói ra .",Sadness,2
"đm cho tù_mọt gông đi , cái thứ không_não",Anger,4
con tao mà bị như này . cả nhà bon_kia không_quỳ mà xin thì xác con mẹ định luôn,Anger,4
a per ..... nhìn những hình_ảnh này ... sao em nhớ về anh quá .... 15 năm ròng_rã .. giờ anh lưu_lạc nơi đâu . emoji_buon emoji_buon emoji_buon emoji_buon,Sadness,2
"kiến phải loại kiến_lửa , kiến vàng , còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời emoji_vui",Disgust,3
per có nên áp_dụng với anh hàng_xóm không_nhể,Enjoyment,0
đáng yêuc quá,Enjoyment,0
ok mà cần gì cứ cắt chất_lượng lại thôi vẫn bán giá vậy,Other,0
làm như chỉ có chúng_mày biết yêu nhau_ý .,Disgust,3
nói_chung là không_nên uống chẳng_bổ_béo gì đâu,Other,0
không_nổi thì mình chìm haha,Enjoyment,0
nóng tính quá hỏng viẹc trẻ_em rất thích ngọt mình nên nhẹ_nhàng cương_quyết mới được,Other,0
anh cũng bướng làm !,Other,0
"mỗi lần như_thế tao chửi , mà bọn nó xem đó là trò đùa mày ạ , càng chửi càng cười",Anger,4
nhìn ma_tiếc từng hạt trân_châu,Sadness,2
thật cảm_động,Enjoyment,0
"trời ơi , tin được không ? ? ? ?",Surprise,0
per nhìn mặt hài_vler emoji_vui,Enjoyment,0
"đấy gọi_là biết ngu mà vẫn đâm đầu_vào , giống tao emoji_vui",Enjoyment,0
một phút huy_hoàng rồi chợt tắt còn hơn le_lói giữa ngàn thu,Enjoyment,0
người ngoài hành_tinh đi học tiếng anh rồi à vãi,Disgust,3
đó là một câu_chuyện buồn,Sadness,2
lỗi đạo cụ,Disgust,3
per dạo này bị xàm à emoji_cuoi emoji_cuoi emoji_cuoi,Disgust,3
như chết_đi_sống lại emoji_vui,Sadness,2
"bất_cứ lúc_nào nghĩ về đời tao chỉ thấy vị cay , nồng nơi khóe mắt emoji_vui",Sadness,2
điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .,Enjoyment,0
thả tao ra để tao cắn chết mẹ nó emoji_cuoi,Anger,4
per tao cứ thấy giống giống mày emoji_vui,Enjoyment,0
vấn_đề là phải cấm được xả_thải chứ không_thì chẳng_khác mẹ gì nhau,Disgust,3
"giỏi thì tự đi mà thiết_kế các kiểu . ở đó chỉ giỏi cào phím chê_bai thôi . ông đã làm được gì , am_hiểu gì mà chê này chê nọ",Disgust,3
ngoài kia ! còn có rất nhiều điều tốt_đẹp vẫn còn trên thế giớ này ! hy_vọng những điều tốt_đẹp luôn diễn ra từng giây_phút ..,Enjoyment,0
cưng hết_sức nà,Enjoyment,0
"học kiểu ăn_nói láp_xược , tại_sao không_dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo",Disgust,3
cái nệm này độ đàn hồi đỉnh ghê,Surprise,0
"em lấy đi niềm tin chả_lại cho anh những gì , cũng vì anh vụng về đánh_rơi hay càng xa_vời càng dễ mất .. anh chân_thành nên anh tổn_thương",Sadness,2
con mèo khốn_nạn dám bóp vếu vợ tao à,Anger,4
"giỏi quá ta , cố_gắng phát_huy nha",Surprise,0
"giờ mà quay lại cái thời đi học , tao thề không_ngoan nữa mà sẽ bỏ học đi chơi vài bữa",Other,0
ăn cả thế_giới đã,Other,0
"mấy cái thằng này xử bắn hết đi , to_xác không_lo làm_ăn suốt ngày trộm_cắp",Anger,4
"đưa lên để nhận đồng_cảm à ? ? họ sai họ chịu phạt , còn người ta đỗ xe như_thế bạn chả_có quyền gì đuổi người ta cả . bỏ dần tư_tưởng đường trước cửa nhà ta là của ta đi .",Disgust,3
chú này tội lắm á_emoji_buon,Sadness,2
gọi phường cẩu đi thôi,Anger,4
link phim đéo có .. mà zo toàn gặp bình_luận xàm,Disgust,3
chắc kiếp trước gieo_nghiệp kiếp này phải gánh thôi,Sadness,2
hihi ảo_tưởng,Enjoyment,0
hahah tao chưa_nghe hoàn_chỉnh bài này lần nào,Enjoyment,0
mình không_quan_tâm giá_trị học_bổng bao_nhiêu . mà tớ_q . tâm em đó sẽ dành những gì cho đất_nước sau khi học xong thôi . hee . chúc_mừng em .,Enjoyment,0
thế nếu sóc lên xong gõ thì n có trào lên không_nhỉ,Other,0
2 tên sủa giống nhau đêm_đêm thì rủ nhau hú ? ?,Other,0
dân dùng bằng giả có được khiển_trách không_nhỉ,Other,0
vì mày là đống vỏ năm_xưa mẹ mày đổ vào đầu bố_mày nên ngày nào nhìn mặt_mày hắn cũng cay_cú như_thế emoji_vui,Disgust,3
người ta chỉ muốn dụ mày rồi xin một trái thận .,Fear,1
per huhu trời ơii,Sadness,2
lớp 5 mà viết kiểu này cô đánh gãy tay .,Fear,1
con gái chả_thế emoji_vui con trai đi dume_mày có nhận hàng_không,Enjoyment,0
"xóa mẹ nó đi , pr cho nó làm gì",Disgust,3
t thích nhìn mắt của crush hơn là nhìn nó cười,Enjoyment,0
hành_động đẹp,Enjoyment,0
"đập chết mẹ nó đi , nó làm người ta nhồi máu cơ tim có khác nào giết người gián_tiếp mà ở mỹ gọi_là giết người cấp_độ 2 đấy",Disgust,3
"đây là tao khi bảo tao biết đường mà , tin tao . emoji_vui",Enjoyment,0
t nhớ tao đang xem xx thì chưa_cắm tai nghe emoji_buon emoji_buon emoji_buon,Sadness,2
chuẩn . hài_lòng với những thứ mình đang có . đừng mơ_mộng những thứ viển_vông,Enjoyment,0
per quẹo lựa mấy đứa ơi . để lễ nay đặt vé luôn cho_rồi . nóng quá rồi emoji_vui,Enjoyment,0
"ai đời cho kiến đen đốt tr ...._nta cho kiến vàng đốt chứ , ăn_kì cục",Disgust,3
may quá tao đang nhà đắp chăn xem cảnh này chứ đông vậy đi chắc chớt,Other,0
mặt_mày nhìn chán thậc,Disgust,3
cả 2 đứa đều trẻ_con . yêu đương kiểu này thì lsao mà tính_chuyện lâu_dài được,Disgust,3
per ê_tao với mày mà đi cái cầu này chắc rớt ngay bước_đầu quá emoji_buon emoji_buon đã mặp rồi chân_lùn nữa đi qua bằng niềm tin,Fear,1
đau_lòng quá,Sadness,2
chơi mất dậy . gặp tao là tiễn theo điện_thoại luôn,Disgust,3
vụ này chắc xử nhanh hơn vụ trong thang_máy .... emoji_cuoi emoji_cuoi emoji_cuoi,Enjoyment,0
lúc rài không_gặp được mặt cờ rút nữa,Sadness,2
dạo này cứ đổ_vỡ nhây_nhớp là hấp_dẫn cư_dân mạng à emoji_vui tao thấy đéo đến mức buồn quá,Disgust,3
giống tao hồi bé ...,Enjoyment,0
có ai không_bị giật_mình như tao không . nhạt vãi emoji_cuoi,Disgust,3
năm nay không_được ăn dồi emoji_buon,Sadness,2
ổng bị bắt rồi emoji_buon rồi lấy gì coi,Sadness,2
"per_thể_loại mới nè , có_vẻ phê",Enjoyment,0
con nào cũng là con nhé . con trai tao tập từ nhỏ đã biết tự lo và phụ mẹ rồi emoji_vui,Enjoyment,0
