Sentence,Emotion,score
xem cái này mới biết vốn tiếng anh của mình cũng khá !,Surprise,0
thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa,Disgust,3
ôi bé xinh gái vãi :)),Enjoyment,0
cười sái mẹ quai hàm,Enjoyment,0
rồi khi mày có 1 ít tiền :)) mày mới phát hiện ra còn đéo cả có người đi cùng cơ,Sadness,2
tự dưng cay mẹ mắt,Sadness,2
tao sợ thật sự :(((,Fear,1
per thịt nướng lò xô ne ăn z mà không chết 😎😎😎😎,Enjoyment,0
tốt quá,Enjoyment,0
ông nào viết vui tính thế =)) cưng thật,Enjoyment,0
không hiểu sao nhìu người lại thả haha nhỉ ??,Surprise,0
diễn viên già vãi -.-,Disgust,3
ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ 😂😂😂,Enjoyment,0
cưng quá đi,Enjoyment,0
nhìn mẫu này lạ mắt mà đẹp quá,Surprise,0
tao cay mẹ khoé mắt,Sadness,2
thấy mệt thêm chứ chẳng khỏe gì cả .,Disgust,3
":)) đang ăn mỳ , không có trứng nhạt lắm , có rụnng thì xin vài quả !",Enjoyment,0
"cảm ơn nói chuyện nhật ! 1 nền khoa học , giáo dục , trí tuệ văn minh !! 😘",Enjoyment,0
tao mệt chúng mày quá,Disgust,3
hahaha lúc trước ca làm có 4 chị em vui biết bao :)),Enjoyment,0
đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 🙄,Disgust,3
các bạn đang bảo con này ah 😂😂😂,Other,0
má chủ dễ thương vậy tao cũng muốn xin,Enjoyment,0
"kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí "" tro "" vào lần sau không phải nấu 😊",Enjoyment,0
"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng",Sadness,2
địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được,Anger,4
nhìn thương quá ... lao động nghiêm túc,Enjoyment,0
đm thực tế như này còn hay . tiếc là đéo ở gần mình =)),Sadness,2
per mấy trụ kia em không tag được,Other,0
nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác,Anger,4
per ơ ơ ơ đây là đâu vậy,Surprise,0
gặm gặm cái đéo ý à ... bố gặm luôn mày giờ ...!!!,Anger,4
"thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk , người có ăn học có ý thức sẽ không nói ra câu đó .",Disgust,3
k phải là trời không cho mày yêu . vì m quá ngulon,Disgust,3
"per tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó :((",Fear,1
hết tiền rồi này,Sadness,2
"đẹp , dẽ thương mà",Enjoyment,0
tử hình con mẹ nó lũ chó má không có tính người đi . khổ thân lũ trẻ,Anger,4
phim xem hay ... nhẹ nhàng tình cảm ... và cười vkl,Enjoyment,0
thế làm sao dỗ bạn gái đang giận :(,Sadness,2
t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :),Anger,4
loài này bé như ngón tay phàm ăn lắm sợ luôn,Fear,1
"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ....",Disgust,3
dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười,Disgust,3
chẳng đủ dịu dàng để níu bước chân anh,Sadness,2
1 cái xe cup này ngày xưa bằng mấy cái nhà liền,Other,0
mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó,Enjoyment,0
em chưa có người yêu . có ai yêu em không . em cô đơn quá,Sadness,2
nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊,Enjoyment,0
per =)))))) hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày :),Enjoyment,0
bả đòi cái gì vậy ?,Other,0
"cái thứ ba , trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa",Sadness,2
per biết không :))),Surprise,0
dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .,Sadness,2
mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự .. bố tổ sư,Disgust,3
cô tiên béo quá .. 😅😅 giọng còn the thé nữa .. 😅😅,Disgust,3
lên án nhiều rồi mà vẫn thế .,Disgust,3
thằng này ngu vãi,Disgust,3
cây tre có tận trăm đốt luôn hả ???,Surprise,0
nói tiếng tuy hoà phú yên làm tao nhớ đến nyc . giọng nó sao ngọt không thể tả . buồn,Sadness,2
"per mợ mệt , trưa nào cũng nhìn mày nhai chóp chép ..",Disgust,3
"đừng nên thích mấy ông anh cơ bắp , sợ lắm 😆",Fear,1
có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ?? 😀,Enjoyment,0
tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣🤣🤣,Disgust,3
và khi quay lại nói chuyện với nhau .... biết nói gì giờ huhu,Sadness,2
thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu,Disgust,3
cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz,Disgust,3
tao thấy giống khùng với lại vô duyên chứ hay gì,Disgust,3
cần gì những thứ xa hoa lộng lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi 😊😊😊,Enjoyment,0
t gặp ngỗng chạy bỏ dép,Fear,1
"vừa ngu vừa ngông thì thế , làm trễ tàu của người ta",Disgust,3
sao nó trèo lên được hay vậy @@,Surprise,0
"khuôn mặt ngây thơ vô số tội , trái tim nhỏ bé của tao sao chịu được ❤❤❤",Enjoyment,0
cuộc sống mà đành chịu thôi =(((,Sadness,2
"cấp 3 , đáng tiếc nhất trong thời học sinh ^^",Sadness,2
"per mình đang nói phần lớn thôi , chứ tất nhiên cũng có ngoại lệ mà",Other,0
"thích chị này nhất phim í , bé bé xinh xinh lại diễn rất đạt :3 . hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa < 3",Enjoyment,0
dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng cáo ấy ( ý kiến cá nhân ) 😔,Disgust,3
t thấy chả có gì thú vị .,Other,0
vậy mà củng chẳng hút được khách !,Surprise,0
khi nào lên chùa ba vàng giải được vong thì kết hôn :)),Enjoyment,0
thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe .. 🤣,Disgust,3
chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon,Enjoyment,0
cận cảnh cái bụng nước lèo của boss =))) xài hao vãi,Disgust,3
bản chất tham lam của con người thể hiện ngay từ những việc nhỏ ..,Other,0
em đi bộ chết mẹ đây này,Sadness,2
"thật tốt vì chú chó ấy đã tìm được người yêu thương nó , kiên trì để nó tin tưởng thật sự :"">",Enjoyment,0
"phim này xem nam chính thôi . nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm . giận không ra giận , vui không ra vui .",Disgust,3
nhìn mặt nó khó ưa thật chứ,Disgust,3
lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :-),Other,0
giờ lên phường người ta có phát chú rể không nhỉ các bạn ?,Other,0
một cái ngu thật sứng đáng,Disgust,3
năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn ké socola of bọn có người yêu 😁😂...# mun 😘,Enjoyment,0
hãy dùng một đời để minh chứng nhé !💕😍,Other,0
con mụ đen sai còn già mồm ...,Disgust,3
chỉ cần yên bình như thế này thôi . ❤️❤️❤️,Enjoyment,0
năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc,Sadness,2
chỉ sợ lúc nó dí,Fear,1
hên là chay ra kip,Enjoyment,0
immm,Anger,4
tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁,Sadness,2
đa ́ người yêuc quá ́,Enjoyment,0
"5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi , chứ phạt g đâu , xếp lớn của bà và xếp lớn của công an phường là 1 , ai lại đi đá gà nhà ...",Disgust,3
kinh dị v,Fear,1
thật may em đã gặp được người tài xế tốt 🌸🌸,Enjoyment,0
bắn không trượt phát nào luôn à,Surprise,0
tại sao mày nằm viện mà vẫn xinh thế ??,Surprise,0
đẹp trai mà bị đá à,Surprise,0
cho con được thay ông bán vé đi 😔,Sadness,2
lớp xuất hiện thứ âm binh,Disgust,3
đọc bình luận cười ẻ,Enjoyment,0
per cách này coi bộ hay nha 😂,Enjoyment,0
"mặt đúng kiểu , em hiểu cảm giác phê của anh không kkk",Enjoyment,0
per thanh niên suốt ngày hát karaoke max volum,Disgust,3
lỡ câu chuyện là thật thì sao . chưa gì lên chửi người ta là rẻ rách,Disgust,3
bố mày ngứa mắt lắm rồi đấy,Anger,4
thề địt mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện thoại vãi :),Anger,4
cả đám súc vật này,Anger,4
bố mấy thằng bệnh,Disgust,3
thật khó để có cả 2 khi chúng ta còn trẻ :),Sadness,2
nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì,Disgust,3
may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,Enjoyment,0
còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn,Disgust,3
mấy thằng này người ta gọi là mấy thằng nhà quê . năm nào rồi còn túm 5 tụm 3 trêu gái,Disgust,3
cô giáo có tâm vời nghề ghêeeee,Enjoyment,0
tiếc quá đẹp trai mờ không có chim,Sadness,2
crush ở nhà chơi gane rồi haha,Enjoyment,0
nhìn stt đồng cảm khủng khiếp .,Sadness,2
cài lò xô huyền thoại,Enjoyment,0
quên đào tạo đạo đức thôi mà báo làm căng vãi 😂,Disgust,3
đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức,Disgust,3
"cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng , cố gắng lên em nhé 👍",Enjoyment,0
hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết 😂 vừa dí vừa ngoác mỏ hét sợ vãi ra,Fear,1
trốn cũng đéo tha,Anger,4
"con gấu trúc , cho nó ăn trúc đi =))) tướng ngồi nhìn cưng vãi",Enjoyment,0
rồi lại im thôi . 200k hay 5tr thì cũng vậy,Sadness,2
"cái lò huyền thoại nè per , lúc mình ở chung đó",Enjoyment,0
hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ,Fear,1
tí nữa vợ nó vắt chân lên cổ bò thì hú hồn,Fear,1
tuyệt vời,Enjoyment,0
trẻ con bao giờ ga lăng sớm thế nhỉ ?! hồi mình bằng bọn này đuổi đánh nhau hỡi chết :))))),Surprise,0
tính đi chạy xe mà mưa cho nên ta ở nhà :),Other,0
nhìn nó cưng quá,Enjoyment,0
chủ tịch giả làm nhện và cái kết . đừng bao giờ xem thường người khác .,Disgust,3
"này thì cắt đức quan hệ , toàn thể hiện , dume nó",Disgust,3
con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình,Disgust,3
hạnh phúc to nè,Enjoyment,0
"độ "" thâm "" của bác phải gọi là "" bố "" của tàu",Disgust,3
ông thần nhây vãi đái 😂😂,Enjoyment,0
tóm lại vẩn ế à,Surprise,0
chả vị nước mắt à 😔,Sadness,2
con lợn kia sao đập vào đầu vợ bé của tao =)),Anger,4
tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt,Other,0
cứ sợ rớt điện thoại :)))) sợ nhất là lỡ khúc nào khó là té không thể tả nổi,Fear,1
hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem,Enjoyment,0
hahaa coi cái mặt con nhỏ thấy thương,Enjoyment,0
"per khiếp nhớ ngày xưa quá anh em ơi , đi làm cười từ sáng tới tối luôn 😩",Enjoyment,0
per tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ,Other,0
"tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 🤨 chả bù cho mình , lúc đéo nào cũng cười , cuộc sống tràn ngập niềm vui < 3",Enjoyment,0
không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤,Enjoyment,0
per anh tặng vợ cái bát nha kaka,Enjoyment,0
"tiêu đề bộ phim cứ ngỡ là thể loại hài , nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này",Enjoyment,0
như lol,Anger,4
bất ngờ chưa =))),Surprise,0
"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc",Anger,4
"ay , đau thế , thằng chó !",Anger,4
"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra .",Sadness,2
"đm cho tù mọt gông đi , cái thứ không não",Anger,4
con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn,Anger,4
a per ..... nhìn những hình ảnh này ... sao em nhớ về anh quá .... 15 năm ròng rã .. giờ anh lưu lạc nơi đâu . 😭😭😭😭,Sadness,2
"kiến phải loại kiến lửa , kiến vàng , còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời :))",Disgust,3
per có nên áp dụng với anh hàng xóm không nhể 😆😆😆,Enjoyment,0
đáng yêuc quá,Enjoyment,0
ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy,Other,0
làm như chỉ có chúng mày biết yêu nhau ý .,Disgust,3
nói chung là không nên uống chẳng bổ béo gì đâu,Other,0
không nổi thì mình chìm haha,Enjoyment,0
nóng tính quá hỏng viẹc - trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được,Other,0
anh cũng bướng làm !,Other,0
"mỗi lần như thế tao chửi , mà bọn nó xem đó là trò đùa mày ạ , càng chửi càng cười",Anger,4
nhìn ma tiếc từng hạt trân châu,Sadness,2
thật cảm động,Enjoyment,0
"trời ơi , tin được không ????",Surprise,0
per nhìn mặt hài vler :))),Enjoyment,0
"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)",Enjoyment,0
một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu,Enjoyment,0
người ngoài hành tinh đi học tiếng anh rồi à vãi,Disgust,3
đó là một câu chuyện buồn 😀,Sadness,2
lỗi đạo cụ,Disgust,3
per dạo này bị xàm à 😂😂😂,Disgust,3
như chết đi sống lại 🙂,Sadness,2
"bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay , nồng nơi khóe mắt :))",Sadness,2
điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .,Enjoyment,0
thả tao ra để tao cắn chết mẹ nó =)),Anger,4
per tao cứ thấy giống giống mày :))))),Enjoyment,0
vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau,Disgust,3
"giỏi thì tự đi mà thiết kế các kiểu . ở đó chỉ giỏi cào phím chê bai thôi . ông đã làm được gì , am hiểu gì mà chê này chê nọ",Disgust,3
ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút ..,Enjoyment,0
cưng hết sức nà,Enjoyment,0
"học kiểu ăn nói láp xược , tại sao không dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo",Disgust,3
cái nệm này độ đàn hồi đỉnh ghê,Surprise,0
"em lấy đi niềm tin chả lại cho anh những gì , cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất .. anh chân thành nên anh tổn thương",Sadness,2
con mèo khốn nạn dám bóp vếu vợ tao à 😡,Anger,4
"giỏi quá ta , cố gắng phát huy nha",Surprise,0
"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa",Other,0
ăn cả thế giới đã,Other,0
"mấy cái thằng này xử bắn hết đi , to xác không lo làm ăn suốt ngày trộm cắp",Anger,4
"đưa lên để nhận đồng cảm à ?? họ sai họ chịu phạt , còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi .",Disgust,3
chú này tội lắm á :(,Sadness,2
gọi phường cẩu đi thôi,Anger,4
link phim đéo có .. mà zo toàn gặp bình luận xàm,Disgust,3
chắc kiếp trước gieo nghiệp kiếp này phải gánh thôi,Sadness,2
hihi ảo tưởng,Enjoyment,0
hahah tao chưa nghe hoàn chỉnh bài này lần nào,Enjoyment,0
mình không quan tâm giá trị học bổng bao nhiêu . mà tớ q . tâm em đó sẽ dành những gì cho đất nước sau khi học xong thôi . hee . chúc mừng em .,Enjoyment,0
thế nếu sóc lên xong gõ thì n có trào lên không nhỉ,Other,0
2 tên sủa giống nhau đêm đêm thì rủ nhau hú ??,Other,0
dân dùng bằng giả có được khiển trách không nhỉ,Other,0
vì mày là đống vỏ năm xưa mẹ mày đổ vào đầu bố mày nên ngày nào nhìn mặt mày hắn cũng cay cú như thế :)),Disgust,3
người ta chỉ muốn dụ mày rồi xin một trái thận . 😪,Fear,1
per huhu trời ơiii,Sadness,2
lớp 5 mà viết kiểu này cô đánh gãy tay .,Fear,1
con gái chả thế :)))) con trai đi dume mày có nhận hàng không,Enjoyment,0
"xoá mẹ nó đi , pr cho nó làm gì",Disgust,3
t thích nhìn mắt của crush hơn là nhìn nó cười,Enjoyment,0
hành động đẹp,Enjoyment,0
"đập chết mẹ nó đi , nó làm người ta nhồi máu cơ tim có khác nào giết người gián tiếp mà ở mỹ gọi là giết người cấp độ 2 đấy",Disgust,3
"đây là tao khi bảo "" tao biết đường mà , tin tao ."" 🙂",Enjoyment,0
t nhớ tao đang xem xxx thì chưa cắm tai nghe 😭😭😭,Sadness,2
chuẩn . hài lòng với những thứ mình đang có . đừng mơ mộng những thứ viển vông,Enjoyment,0
per quẹo lựa mấy đứa ơi . để lễ nay đặt vé luôn cho rồi . nóng quá rồi :)))),Enjoyment,0
"ai đời cho kiến đen đốt tr .... nta cho kiến vàng đốt chứ , ăn kì cục",Disgust,3
may quá tao đang nhà đắp chăn xem cảnh này chứ đông vậy đi chắc chớt,Other,0
mặt mày nhìn chán thậc,Disgust,3
cả 2 đứa đều trẻ con . yêu đương kiểu này thì lsao mà tính chuyện lâu dài được,Disgust,3
per ê tao với mày mà đi cái cầu này chắc rớt ngay bước đầu quá 😢😢 đã mặp rồi chân lùn nữa đi qua bằng niềm tin,Fear,1
đau lòng quá,Sadness,2
chơi mất dậy . gặp tao là tiễn theo điện thoại luôn,Disgust,3
vụ này chắc xử nhanh hơn vụ trong thang máy .... 😂😂😂,Enjoyment,0
lúc rài không gặp được mặt cờ rút nữa 😪,Sadness,2
dạo này cứ đổ vỡ nhây nhớp là hấp dẫn cư dân mạng à :)) tao thấy đéo đến mức buồn quá,Disgust,3
giống tao hồi bé ... 😅,Enjoyment,0
có ai không bị giật mình như tao không . nhạt vãi =))),Disgust,3
năm nay không được ăn dồi :((,Sadness,2
ổng bị bắt rồi :( rồi lấy gì coi,Sadness,2
"per thể loại mới nè , có vẻ phê",Enjoyment,0
con nào cũng là con nhé . con trai tao tập từ nhỏ đã biết tự lo và phụ mẹ rồi :)),Enjoyment,0
"cái con yêu nghiê ̣ tao này hồi nhỏ nó phập vào đùi mình . lần đầu nhìn thấy nó tươ ̉ người nó cũng hiền hiền như con vịt , ai ngờ mới bươ ́ c lại gần là nó di ́ rượt mình . cái kết là bầm tím phần đùi . đến giơ ̀ thấy nó là auto né .",Disgust,3
per nhện kìa haha,Enjoyment,0
per đi tong một năm học ... nhưng vẫn tốt nghiệp ... :(,Sadness,2
càng thân thiết khi quay lưng càng đau lòng .,Sadness,2
lâu rồi chưa nghe ... nghe lại vẫn hay và ngấm như ngày nào :)),Enjoyment,0
tôi thấy tương lai của tôi trong bức ảnh này :d,Other,0
"per đấu nhau to rồi , phen này hay",Enjoyment,0
có thể bán lại cho tớ không ??????,Other,0
phí gì cũng cao nhất so với ngân hàg khác mà phục vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !,Disgust,3
xem đi xem lại bao nhiêu lần cũng không chán ... vẫn cảm giác hồi hộp :),Sadness,2
per phải nói là hiền quá hiền luônnn 🤣,Enjoyment,0
phạt thế quá nhẹ ...,Anger,4
có bồ mà cũng sân si,Disgust,3
trên đời sợ nhất mấy con trùn trùn như ri ! nhất là giun đất với rắn !!! đã từng bỏ tiết học sinh học mổ giun đất 😞😞,Fear,1
sao tao thấy đa phần mấy đứa con trai cắt tóc xong nhìn ngáo đéo chịu được vậy =))).. cười tét cả hàm chứ đùa,Enjoyment,0
đơn giản thôi : nó giống như con chó vậy . khi ta đuổi thì nó chạy . khi ta chạy thì nó đuổi,Other,0
ướp đông lạnh luôn à,Other,0
